# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: C:\Users\jfalkinburg2\Documents\csce230_code_2020\Lab9\Task_2\pin_assignments.csv
# Generated on: Wed Oct 14 15:14:31 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
A[3],Input,PIN_A14,7,B7_N0,PIN_A14,3.3-V LVTTL,,,,,
A[2],Input,PIN_A13,7,B7_N0,PIN_A13,3.3-V LVTTL,,,,,
A[1],Input,PIN_B12,7,B7_N0,PIN_B12,3.3-V LVTTL,,,,,
A[0],Input,PIN_A12,7,B7_N0,PIN_A12,3.3-V LVTTL,,,,,
A_inv,Input,,,,PIN_A11,3.3-V LVTTL,,,,,
ALU_op[1],Input,PIN_F15,7,B7_N0,PIN_F15,3.3-V LVTTL,,,,,
ALU_op[0],Input,PIN_B14,7,B7_N0,PIN_B14,3.3-V LVTTL,,,,,
ALU_out[3],Output,PIN_B10,7,B7_N0,PIN_B10,3.3-V LVTTL,,,,,
ALU_out[2],Output,PIN_A10,7,B7_N0,PIN_A10,3.3-V LVTTL,,,,,
ALU_out[1],Output,PIN_A9,7,B7_N0,PIN_A9,3.3-V LVTTL,,,,,
ALU_out[0],Output,PIN_A8,7,B7_N0,PIN_A8,3.3-V LVTTL,,,,,
B[3],Input,PIN_C12,7,B7_N0,PIN_C12,3.3-V LVTTL,,,,,
B[2],Input,PIN_D12,7,B7_N0,PIN_D12,3.3-V LVTTL,,,,,
B[1],Input,PIN_C11,7,B7_N0,PIN_C11,3.3-V LVTTL,,,,,
B[0],Input,PIN_C10,7,B7_N0,PIN_C10,3.3-V LVTTL,,,,,
B_inv,Input,PIN_A7,7,B7_N0,PIN_A7,3.3 V Schmitt Trigger,,,,,
C,Output,PIN_E14,7,B7_N0,PIN_E14,3.3-V LVTTL,,,,,
C_in,Input,PIN_B8,7,B7_N0,PIN_B8,3.3 V Schmitt Trigger,,,,,
N,Output,PIN_D14,7,B7_N0,PIN_D14,3.3-V LVTTL,,,,,
V,Output,PIN_C13,7,B7_N0,PIN_C13,3.3-V LVTTL,,,,,
Z,Output,PIN_D13,7,B7_N0,PIN_D13,3.3-V LVTTL,,,,,
